id,time,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0,904,0,0,0,0,0,0,0,0,0,1,0
1,904,0,0,0,0,0,0,0,0,0,1,0
2,904,0,0,0,0,0,0,0,0,0,1,0
3,904,0,0,0,0,0,0,0,0,0,1,0
4,904,0,0,0,0,0,0,0,0,0,1,0
5,904,0,0,0,0,0,0,0,0,0,1,0
6,904,0,0,0,0,0,0,0,0,0,1,0
7,904,0,0,0,0,0,0,0,0,0,1,0
8,904,0,0,0,0,0,0,0,0,0,1,0
9,904,0,0,0,0,0,0,0,0,0,1,0
10,904,0,0,0,0,0,0,0,0,0,1,0
11,904,0,0,0,0,0,0,0,0,0,1,0
12,904,0,0,0,0,0,0,0,0,0,1,0
13,802,0,0,0,0,0,0,0,0,1,0,0
14,801,0,0,0,0,0,0,0,0,1,0,0
15,803,0,0,0,0,0,0,0,0,1,0,0
16,804,0,0,0,0,0,0,0,0,1,0,0
17,803,0,0,0,0,0,0,0,0,1,0,0
18,803,0,0,0,0,0,0,0,0,1,0,0
19,803,0,0,0,0,0,0,0,0,1,0,0
20,803,0,0,0,0,0,0,0,0,1,0,0
21,803,0,0,0,0,0,0,0,0,1,0,0
22,803,0,0,0,0,0,0,0,0,1,0,0
23,803,0,0,0,0,0,0,0,0,1,0,0
24,703,0,0,0,0,0,0,0,1,0,0,0
25,704,0,0,0,0,0,0,0,1,0,0,0
26,704,0,0,0,0,0,0,0,1,0,0,0
27,703,0,0,0,0,0,0,0,1,0,0,0
28,704,0,0,0,0,0,0,0,1,0,0,0
29,704,0,0,0,0,0,0,0,1,0,0,0
30,703,0,0,0,0,0,0,0,1,0,0,0
31,704,0,0,0,0,0,0,0,1,0,0,0
32,704,0,0,0,0,0,0,0,1,0,0,0
33,602,0,0,0,0,0,0,1,0,0,0,0
34,602,0,0,0,0,0,0,1,0,0,0,0
35,602,0,0,0,0,0,0,1,0,0,0,0
36,602,0,0,0,0,0,0,1,0,0,0,0
37,602,0,0,0,0,0,0,1,0,0,0,0
38,602,0,0,0,0,0,0,1,0,0,0,0
39,602,0,0,0,0,0,0,1,0,0,0,0
40,602,0,0,0,0,0,0,1,0,0,0,0
41,602,0,0,0,0,0,0,1,0,0,0,0
42,602,0,0,0,0,0,0,1,0,0,0,0
43,602,0,0,0,0,0,0,1,0,0,0,0
44,602,0,0,0,0,0,0,1,0,0,0,0
45,602,0,0,0,0,0,0,1,0,0,0,0
46,503,0,0,0,0,0,1,0,0,0,0,0
47,503,0,0,0,0,0,1,0,0,0,0,0
48,503,0,0,0,0,0,1,0,0,0,0,0
49,503,0,0,0,0,0,1,0,0,0,0,0
50,503,0,0,0,0,0,1,0,0,0,0,0
51,503,0,0,0,0,0,1,0,0,0,0,0
52,503,0,0,0,0,0,1,0,0,0,0,0
53,502,0,0,0,0,0,1,0,0,0,0,0
54,542,0,0,0,0,0,1,0,0,0,0,0
55,502,0,0,0,0,0,1,0,0,0,0,0
56,502,0,0,0,0,0,1,0,0,0,0,0
57,502,0,0,0,0,0,1,0,0,0,0,0
58,402,0,0,0,0,1,0,0,0,0,0,0
59,402,0,0,0,0,1,0,0,0,0,0,0
60,403,0,0,0,0,1,0,0,0,0,0,0
61,402,0,0,0,0,1,0,0,0,0,0,0
62,403,0,0,0,0,1,0,0,0,0,0,0
63,402,0,0,0,0,1,0,0,0,0,0,0
64,402,0,0,0,0,1,0,0,0,0,0,0
65,403,0,0,0,0,1,0,0,0,0,0,0
66,403,0,0,0,0,1,0,0,0,0,0,0
67,403,0,0,0,0,1,0,0,0,0,0,0
68,402,0,0,0,0,1,0,0,0,0,0,0
69,403,0,0,0,0,1,0,0,0,0,0,0
70,304,0,0,0,1,0,0,0,0,0,0,0
71,306,0,0,0,1,0,0,0,0,0,0,0
72,305,0,0,0,1,0,0,0,0,0,0,0
73,304,0,0,0,1,0,0,0,0,0,0,0
74,304,0,0,0,1,0,0,0,0,0,0,0
75,303,0,0,0,1,0,0,0,0,0,0,0
76,303,0,0,0,1,0,0,0,0,0,0,0
77,302,0,0,0,1,0,0,0,0,0,0,0
78,303,0,0,0,1,0,0,0,0,0,0,0
79,302,0,0,0,1,0,0,0,0,0,0,0
80,302,0,0,0,1,0,0,0,0,0,0,0
81,302,0,0,0,1,0,0,0,0,0,0,0
82,302,0,0,0,1,0,0,0,0,0,0,0
83,205,0,0,1,0,0,0,0,0,0,0,0
84,206,0,0,1,0,0,0,0,0,0,0,0
85,205,0,0,1,0,0,0,0,0,0,0,0
86,206,0,0,1,0,0,0,0,0,0,0,0
87,205,0,0,1,0,0,0,0,0,0,0,0
88,206,0,0,1,0,0,0,0,0,0,0,0
89,205,0,0,1,0,0,0,0,0,0,0,0
90,203,0,0,1,0,0,0,0,0,0,0,0
91,204,0,0,1,0,0,0,0,0,0,0,0
92,204,0,0,1,0,0,0,0,0,0,0,0
93,204,0,0,1,0,0,0,0,0,0,0,0
94,203,0,0,1,0,0,0,0,0,0,0,0
95,204,0,0,1,0,0,0,0,0,0,0,0
96,203,0,0,1,0,0,0,0,0,0,0,0
97,203,0,0,1,0,0,0,0,0,0,0,0
98,203,0,0,1,0,0,0,0,0,0,0,0
99,202,0,0,1,0,0,0,0,0,0,0,0
100,202,0,0,1,0,0,0,0,0,0,0,0
101,202,0,0,1,0,0,0,0,0,0,0,0
102,202,0,0,1,0,0,0,0,0,0,0,0
103,201,0,0,1,0,0,0,0,0,0,0,0
104,201,0,0,1,0,0,0,0,0,0,0,0
105,201,0,0,1,0,0,0,0,0,0,0,0
106,201,0,0,1,0,0,0,0,0,0,0,0
107,201,0,0,1,0,0,0,0,0,0,0,0
108,106,0,1,0,0,0,0,0,0,0,0,0
109,105,0,1,0,0,0,0,0,0,0,0,0
110,105,0,1,0,0,0,0,0,0,0,0,0
111,106,0,1,0,0,0,0,0,0,0,0,0
112,105,0,1,0,0,0,0,0,0,0,0,0
113,106,0,1,0,0,0,0,0,0,0,0,0
114,105,0,1,0,0,0,0,0,0,0,0,0
115,105,0,1,0,0,0,0,0,0,0,0,0
116,105,0,1,0,0,0,0,0,0,0,0,0
117,106,0,1,0,0,0,0,0,0,0,0,0
118,105,0,1,0,0,0,0,0,0,0,0,0
119,105,0,1,0,0,0,0,0,0,0,0,0
120,104,0,1,0,0,0,0,0,0,0,0,0
121,105,0,1,0,0,0,0,0,0,0,0,0
122,103,0,1,0,0,0,0,0,0,0,0,0
123,104,0,1,0,0,0,0,0,0,0,0,0
124,104,0,1,0,0,0,0,0,0,0,0,0
125,104,0,1,0,0,0,0,0,0,0,0,0
126,103,0,1,0,0,0,0,0,0,0,0,0
127,103,0,1,0,0,0,0,0,0,0,0,0
128,102,0,1,0,0,0,0,0,0,0,0,0
129,103,0,1,0,0,0,0,0,0,0,0,0
130,103,0,1,0,0,0,0,0,0,0,0,0
131,102,0,1,0,0,0,0,0,0,0,0,0
132,103,0,1,0,0,0,0,0,0,0,0,0
133,103,0,1,0,0,0,0,0,0,0,0,0
134,103,0,1,0,0,0,0,0,0,0,0,0
135,102,0,1,0,0,0,0,0,0,0,0,0
136,103,0,1,0,0,0,0,0,0,0,0,0
137,102,0,1,0,0,0,0,0,0,0,0,0
138,101,0,1,0,0,0,0,0,0,0,0,0
139,103,0,1,0,0,0,0,0,0,0,0,0
140,102,0,1,0,0,0,0,0,0,0,0,0
141,102,0,1,0,0,0,0,0,0,0,0,0
142,102,0,1,0,0,0,0,0,0,0,0,0
143,101,0,1,0,0,0,0,0,0,0,0,0
144,102,0,1,0,0,0,0,0,0,0,0,0
145,101,0,1,0,0,0,0,0,0,0,0,0
146,1,1,0,0,0,0,0,0,0,0,0,0
147,2,1,0,0,0,0,0,0,0,0,0,0
148,2,1,0,0,0,0,0,0,0,0,0,0
149,1,1,0,0,0,0,0,0,0,0,0,0
150,2,1,0,0,0,0,0,0,0,0,0,0
151,2,1,0,0,0,0,0,0,0,0,0,0
152,2,1,0,0,0,0,0,0,0,0,0,0
153,2,1,0,0,0,0,0,0,0,0,0,0
154,2,1,0,0,0,0,0,0,0,0,0,0
155,2,1,0,0,0,0,0,0,0,0,0,0
156,1,1,0,0,0,0,0,0,0,0,0,0
157,2,1,0,0,0,0,0,0,0,0,0,0
158,2,1,0,0,0,0,0,0,0,0,0,0
159,2,1,0,0,0,0,0,0,0,0,0,0
160,2,1,0,0,0,0,0,0,0,0,0,0
161,2,1,0,0,0,0,0,0,0,0,0,0
162,2,1,0,0,0,0,0,0,0,0,0,0
163,2,1,0,0,0,0,0,0,0,0,0,0
164,2,1,0,0,0,0,0,0,0,0,0,0
165,2,1,0,0,0,0,0,0,0,0,0,0
166,2,1,0,0,0,0,0,0,0,0,0,0
167,2,1,0,0,0,0,0,0,0,0,0,0
168,2,1,0,0,0,0,0,0,0,0,0,0
169,2,1,0,0,0,0,0,0,0,0,0,0
170,1,1,0,0,0,0,0,0,0,0,0,0
171,1,1,0,0,0,0,0,0,0,0,0,0
172,1,1,0,0,0,0,0,0,0,0,0,0
173,1,1,0,0,0,0,0,0,0,0,0,0
174,1,1,0,0,0,0,0,0,0,0,0,0
175,1,1,0,0,0,0,0,0,0,0,0,0
176,2,1,0,0,0,0,0,0,0,0,0,0
177,1,1,0,0,0,0,0,0,0,0,0,0
178,2,1,0,0,0,0,0,0,0,0,0,0
179,1,1,0,0,0,0,0,0,0,0,0,0
180,2,1,0,0,0,0,0,0,0,0,0,0
181,2,1,0,0,0,0,0,0,0,0,0,0
182,2,1,0,0,0,0,0,0,0,0,0,0
183,2,1,0,0,0,0,0,0,0,0,0,0
184,2,1,0,0,0,0,0,0,0,0,0,0
185,2,1,0,0,0,0,0,0,0,0,0,0
186,2,1,0,0,0,0,0,0,0,0,0,0
187,2,1,0,0,0,0,0,0,0,0,0,0
188,2,1,0,0,0,0,0,0,0,0,0,0
189,2,1,0,0,0,0,0,0,0,0,0,0
190,2,1,0,0,0,0,0,0,0,0,0,0
191,2,1,0,0,0,0,0,0,0,0,0,0
192,2,1,0,0,0,0,0,0,0,0,0,0
193,2,1,0,0,0,0,0,0,0,0,0,0
194,2,1,0,0,0,0,0,0,0,0,0,0
195,2,1,0,0,0,0,0,0,0,0,0,0
196,2,1,0,0,0,0,0,0,0,0,0,0
197,2,1,0,0,0,0,0,0,0,0,0,0
198,2,1,0,0,0,0,0,0,0,0,0,0
199,2,1,0,0,0,0,0,0,0,0,0,0
200,2,1,0,0,0,0,0,0,0,0,0,0
201,2,1,0,0,0,0,0,0,0,0,0,0
202,2,1,0,0,0,0,0,0,0,0,0,0
203,2,1,0,0,0,0,0,0,0,0,0,0
204,2,1,0,0,0,0,0,0,0,0,0,0
205,2,1,0,0,0,0,0,0,0,0,0,0
206,2,1,0,0,0,0,0,0,0,0,0,0
207,2,1,0,0,0,0,0,0,0,0,0,0
208,2,1,0,0,0,0,0,0,0,0,0,0
209,2,1,0,0,0,0,0,0,0,0,0,0
210,2,1,0,0,0,0,0,0,0,0,0,0
211,2,1,0,0,0,0,0,0,0,0,0,0
212,2,1,0,0,0,0,0,0,0,0,0,0
